Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
TS3-TS3-Labeled,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01408281512E7,908.0,469.0,461.0,8.0,0.0,98.29424307036247,1.7057569296375266,0.0,0.7271669575334502,0.007555288428685244,0.07766275533120588,27.995048373757403,66.67682386372338,101.51209567950814,88.21547784564294,13.296617833865199,0.2164437008091858,0.18809270329561395,0.02835099751357185,56.38525925113637,0.12022443337129289,26298.21982873024,0.9890350877192983,451.0,0.07692307692307693,1.0,0.9230769230769231,12.0,0.010964912280701754,5.0,0.9977876106194691,0.9890350877192983,0.9933920704845816,0.8011403281574359,0.9977226720647774,0.9999327796490532,0.9829424307036247,0.07491997182928986,0.9250800281707101,0.017057569296375266,0.9886094181431654,0.9829424307036247,0.985046448061768,0.7983503651790371,0.9977465359733682,0.9976806069569838,0.6927924620655899,0.9829424307036247,0.116,0.02,0.12,0.02,151868.0,301517.0,197474.0,99.14712153518124,25.37313432835821,?,0.0,0.0,0.0,0.0,-8542.425807894237,-68314.39698931048,-47061.45226552299,-33505.77122881383,-27870.77122881381,?,?,?
Labeled,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01409010953E7,908.0,469.0,450.0,19.0,0.0,95.94882729211088,4.051172707889126,0.0,0.4878146913438321,0.020271715690648073,0.14223878361101894,75.11396377987204,122.11812832259082,101.51209567950814,4891.434730795813,-4789.922635116305,0.2164437008091858,10.429498359905786,-10.2130546590966,-3.603829737172175,-0.00768407193426903,-1680.8348123638173,0.9714912280701754,443.0,0.07692307692307693,1.0,0.9230769230769231,12.0,0.02850877192982456,13.0,0.9977477477477478,0.9714912280701754,0.9844444444444443,0.6537414775103328,0.9915654520917678,0.999757226737822,0.9594882729211087,0.07505300332151553,0.9249469966784845,0.04051172707889126,0.9858232926086934,0.9594882729211087,0.9704926495342834,0.649580039106353,0.9904585683851073,0.986379880804105,0.5904093567251462,0.9594882729211087,0.041,0.057,0.04,0.05,137707.0,301517.0,197474.0,95.94882729211088,25.0,?,?,?,?,?,?,?,?,?,?
TS3-Labeled,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01408281512E7,908.0,469.0,467.0,2.0,0.0,99.57356076759062,0.42643923240938164,0.0,0.9149437794704389,0.0021321961620469083,0.04617570965396101,7.90055009312601,39.643837593056254,101.51209567950814,2148.0,-2046.487904320492,0.2164437008091858,4.5799573560767595,-4.363513655267574,85.00673359268005,0.1812510311144564,39647.343944730615,1.0,456.0,0.15384615384615385,2.0,0.8461538461538461,11.0,0.0,0.0,0.9956331877729258,1.0,0.9978118161925601,0.917855572076825,0.9230769230769231,0.9956331877729258,0.9957356076759062,0.14958176152206004,0.8504182384779401,0.0042643923240938165,0.9914898371523542,0.9957356076759062,0.9936080771509752,0.9158681041940985,0.9230769230769231,0.991508022194248,0.74945295404814,0.9957356076759062,0.062,0.009,0.06,0.01,90657.0,301517.0,197474.0,99.57356076759062,25.0,'Number of leaves: 7\nSize of the tree: 13\n',?,?,?,?,?,?,?,?,?,13.0,7.0,7.0
TS3-Labeled,1,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /home/likewise-open/ACADEMIC/csstnns/mygit/metrics -seed 1',14172,2.01409010953E7,908.0,469.0,456.0,13.0,0.0,97.22814498933901,2.771855010660981,0.0,0.0,0.013859275053304905,0.11772542228977098,51.35357560531907,101.07235074034854,101.51209567950814,13962.0,-13860.487904320491,0.2164437008091858,29.769722814498934,-29.553279113689747,18.0157873725053,0.03841319269190896,8402.606337227373,1.0,456.0,1.0,13.0,0.0,0.0,0.0,0.0,0.9722814498933902,1.0,0.9859459459459459,0.0,0.5,0.9722814498933902,0.9722814498933902,0.9722814498933902,0.02771855010660981,0.02771855010660981,0.945331217806793,0.9722814498933902,0.9586169538408343,0.0,0.5,0.9457358349889299,0.24648648648648647,0.9722814498933902,0.643,0.102,0.63,0.11,473393.0,301517.0,197474.0,97.22814498933901,25.0,?,?,?,?,?,?,?,?,?,?
TS3-Labeled,1,weka.classifiers.lazy.IBk,'-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01409010953E7,908.0,469.0,465.0,4.0,0.0,99.14712153518124,0.8528784648187633,0.0,0.8147526414535402,0.005016807937175298,0.054235814358721365,18.58906939275019,46.56378499165867,101.51209567950814,20.675628868521347,80.83646681098679,0.2164437008091858,0.04408449652136748,0.1723592042878183,84.73385041652531,0.1806691906535721,39520.07057843968,1.0,456.0,0.3076923076923077,4.0,0.6923076923076923,9.0,0.0,0.0,0.991304347826087,1.0,0.9956331877729258,0.8284247856130695,1.0,1.0,0.9914712153518124,0.2991635230441201,0.7008364769558799,0.008528784648187633,0.9872809863724854,0.9914712153518124,0.9889395633114746,0.8265468599890562,0.9989247009793889,0.9964231262484134,0.6508690812569569,0.9914712153518124,0.001,0.102,0.0,0.11,303866.0,301517.0,197474.0,99.7867803837953,25.479744136460553,?,?,?,?,?,?,?,?,?,?
