Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError
TS3-Labeled,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01408271342E7,1239.0,138.0,133.0,5.0,0.0,96.3768115942029,3.6231884057971016,0.0,0.36405529953916943,0.019703148041972044,0.13413082093033407,80.47047133884851,129.62443291197295,24.646732874193802,1073.2126958157132,-1048.5659629415195,0.1785995135811145,7.7769035928674874,-7.598304079286374,-6.3741138028505615,-0.04618923045543885,-2908.550746471006,0.9777777777777777,132.0,0.3333333333333333,1.0,0.6666666666666666,2.0,0.022222222222222223,3.0,0.9924812030075187,0.9777777777777777,0.9850746268656717,0.5029237823239896,0.9851851851851852,0.9996670283147738,0.9637681159420289,0.3262456363059346,0.6737543636940654,0.036231884057971016,0.9727171188841669,0.9637681159420289,0.9665585117888817,0.49557395549896777,0.9852941176470588,0.9948433489552739,0.46169154228855724,0.9637681159420289,0.042,0.032,0.04,0.03,137707.0,379964.0,119027.0,96.3768115942029,25.36231884057971,?,?,?,?,?
TS3-Labeled,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01408271342E7,1239.0,138.0,131.0,7.0,0.0,94.92753623188406,5.072463768115942,0.0,0.4048059149722739,0.02539287347386692,0.15925273609879695,103.70812282062606,153.90232806528772,24.646732874193802,2246.3009950579303,-2221.6542621837366,0.1785995135811145,16.27754344244877,-16.098943928867655,-12.237436333269116,-0.08867707487876171,-5584.024020108284,0.9555555555555556,129.0,0.0,0.0,1.0,3.0,0.044444444444444446,6.0,1.0,0.9555555555555556,0.9772727272727273,0.5643744488533464,0.9938271604938271,0.9998389694041868,0.9492753623188406,1.586797841954935E-4,0.9998413202158045,0.050724637681159424,0.9945652173913043,0.9492753623188406,0.9685880544576199,0.5658991926539806,0.9939084593956062,0.9950115521949171,0.6813131313131313,0.9492753623188406,0.006,0.012,0.01,0.0,137707.0,379964.0,119027.0,94.92753623188406,25.0,?,?,?,?,?
TS3-Labeled,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01408271342E7,1239.0,138.0,127.0,11.0,0.0,92.02898550724638,7.971014492753623,0.0,0.29428172942817293,0.03960663261099252,0.19491919543533723,143.74027543201075,163.8020936376712,30.32440889696819,1029.5737248721287,-999.2493159751605,0.21974209345629123,7.460679165740062,-7.240937072283772,-30.95156209297407,-0.22428668183314543,-14424.412543431265,0.9328358208955224,125.0,0.25,1.0,0.75,3.0,0.06716417910447761,9.0,0.9920634920634921,0.9328358208955224,0.9615384615384616,0.40655826558073,0.9794776119402985,0.9993681678679819,0.9202898550724637,0.2430180894953983,0.7569819105046016,0.07971014492753623,0.9862548884288015,0.9202898550724637,0.9466077400860009,0.41013694543349877,0.9798849865416035,0.9904492837751903,0.5824175824175825,0.9202898550724637,0.003,0.006,0.0,0.01,137707.0,379964.0,119027.0,93.47826086956522,25.543478260869566,?,?,?,?,?
TS3-Labeled,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01408271342E7,1239.0,138.0,129.0,9.0,0.0,93.47826086956522,6.521739130434782,0.0,0.33830580713905245,0.03261117314486685,0.180578395222082,118.32733948665438,151.71597964572112,30.90937139768935,2109.5640213408055,-2078.654649943116,0.22398095215716918,15.28669580681743,-15.06271485466026,-17.833555512172538,-0.12922866313168505,-8327.616603772442,0.9552238805970149,128.0,0.0,0.0,1.0,4.0,0.04477611940298507,6.0,1.0,0.9552238805970149,0.9770992366412213,0.6181339274290046,0.9813432835820896,0.9994449471358566,0.9347826086956522,7.499089060498137E-4,0.9992500910939501,0.06521739130434782,0.9734299516908214,0.9347826086956522,0.952400708042925,0.6038101454672729,0.9812134889570622,0.9810690411457212,0.4923664122137404,0.9347826086956522,0.004,0.005,0.01,0.0,137707.0,379964.0,119027.0,93.47826086956522,25.0,?,?,?,?,?
TS3-Labeled,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01408271342E7,1239.0,138.0,136.0,2.0,0.0,98.55072463768116,1.4492753623188406,0.0,0.7728395061728403,0.007313891552169509,0.0850677161360353,26.537939154095056,71.47107423305138,30.90937139768935,302.4150311076991,-271.50565971000975,0.22398095215716918,2.1914132688963703,-1.9674323167392012,19.86704504441917,0.1439640945247766,9277.181662785822,0.9925373134328358,133.0,0.0,0.0,1.0,4.0,0.007462686567164179,1.0,1.0,0.9925373134328358,0.9962546816479401,0.8910835262455864,1.0,1.0,0.9855072463768116,0.0,1.0,0.014492753623188406,1.0,0.9855072463768116,0.9920154155132173,0.8901859432418003,1.0,1.0,0.9320848938826467,0.9855072463768116,0.003,0.009,0.0,0.01,137707.0,379964.0,119027.0,98.55072463768116,25.0,?,?,?,?,?
TS3-Labeled,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01408271342E7,1239.0,138.0,128.0,10.0,0.0,92.7536231884058,7.246376811594203,0.0,0.3584379358437938,0.0361282533345129,0.1898071896081466,131.08881665747924,159.46970666001187,30.90937139768935,2832.6801292086207,-2801.770757810931,0.22398095215716918,20.52666760296102,-20.30268665080385,-24.973453547499698,-0.18096705469202679,-11661.687220686079,0.9402985074626866,126.0,0.0,0.0,1.0,4.0,0.05970149253731343,8.0,1.0,0.9402985074626866,0.9692307692307692,0.5598507263734642,1.0,1.0,0.927536231884058,1.6103059581320451E-4,0.9998389694041869,0.07246376811594203,0.9855072463768116,0.927536231884058,0.9556298773690078,0.557954892114652,0.9993637136554727,0.9867698726394379,0.5452991452991452,0.927536231884058,0.004,0.005,0.0,0.01,137707.0,379964.0,119027.0,92.7536231884058,25.0,?,?,?,?,?
TS3-Labeled,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01408271342E7,1239.0,138.0,131.0,7.0,0.0,94.92753623188406,5.072463768115942,0.0,0.40296662546353484,0.025454884937390728,0.1566408311067086,92.36125294236655,131.6044320509509,30.90937139768935,750.3870289832159,-719.4776575855266,0.22398095215716918,5.437587166545043,-5.213606214387874,-6.854531761432705,-0.04967052001038192,-3200.8150292088703,0.9626865671641791,129.0,0.25,1.0,0.75,3.0,0.03731343283582089,5.0,0.9923076923076923,0.9626865671641791,0.9772727272727273,0.5116397739853361,0.9794776119402985,0.9993838694197753,0.9492753623188406,0.24285940971120276,0.7571405902887972,0.050724637681159424,0.9876997398736529,0.9492753623188406,0.9634387351778657,0.5134218251720121,0.9800187869028448,0.9975901340742745,0.6590909090909091,0.9492753623188406,0.004,0.005,0.01,0.0,137707.0,379964.0,119027.0,94.92753623188406,25.36231884057971,?,?,?,?,?
TS3-Labeled,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01408271342E7,1240.0,137.0,133.0,4.0,0.0,97.08029197080292,2.9197080291970803,0.0,0.5913497390007464,0.014913793734763512,0.12070426366176151,60.74875809340991,116.23799546400886,24.604505086346524,304.4095838614567,-279.8050787751102,0.17959492763756588,2.221967765412093,-2.042372837774527,3.562576644322114,0.026004209082643167,1626.6894043131442,0.9701492537313433,130.0,0.0,0.0,1.0,3.0,0.029850746268656716,4.0,1.0,0.9701492537313433,0.9848484848484849,0.6448086937992905,1.0,1.0,0.9708029197080292,1.618084378925942E-4,0.9998381915621074,0.029197080291970802,0.9914841849148419,0.9708029197080292,0.9798274717982746,0.6477065773263261,0.9999188969991889,0.9939172749391727,0.8171717171717171,0.9708029197080292,0.004,0.005,0.0,0.01,137707.0,380201.0,118790.0,97.08029197080292,25.0,?,?,?,?,?
TS3-Labeled,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01408271342E7,1240.0,137.0,130.0,7.0,0.0,94.8905109489051,5.109489051094891,0.0,0.4036069651741286,0.02716201965005405,0.16205196799384858,110.63978692445991,156.05576264801005,24.604505086346524,967.6952283808448,-943.0907232944983,0.17959492763756588,7.063468820298137,-6.883873892660572,-16.290954766744626,-0.11891207858937683,-7438.527265776388,0.9552238805970149,128.0,0.0,0.0,1.0,3.0,0.04477611940298507,6.0,1.0,0.9552238805970149,0.9770992366412213,0.5642764926868786,0.9900497512437811,0.9997763832198296,0.948905109489051,3.2202662086732505E-4,0.9996779733791328,0.051094890510948905,0.9937434827945777,0.948905109489051,0.9672600806077153,0.5649020996570021,0.9902139687991987,0.9949150998889819,0.6312553011026293,0.948905109489051,0.004,0.005,0.0,0.0,137707.0,380201.0,118790.0,94.8905109489051,25.182481751824817,?,?,?,?,?
TS3-Labeled,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01408271342E7,1240.0,137.0,124.0,13.0,0.0,90.51094890510949,9.489051094890511,0.0,0.2613023641642475,0.046591502005846955,0.21271680866794712,189.7824212201833,204.8459158853746,24.604505086346524,1359.8913033152228,-1335.2867982288763,0.17959492763756588,9.926213892811845,-9.74661896517428,-43.055747239548325,-0.3142755272959732,-19659.458538522205,0.9104477611940298,122.0,0.0,0.0,1.0,3.0,0.08955223880597014,12.0,1.0,0.9104477611940298,0.953125,0.4267195240890742,0.9825870646766169,0.9996041605820456,0.9051094890510949,3.7649285180414423E-4,0.9996235071481958,0.0948905109489051,0.98661800486618,0.9051094890510949,0.9416384254431699,0.42749105741464105,0.9828063626099264,0.9886639234890082,0.5796130952380952,0.9051094890510949,0.004,0.005,0.01,0.0,137707.0,380201.0,118790.0,91.24087591240875,25.364963503649633,?,?,?,?,?
